imagepath,seglabelpath,depthpath,HHApath
/SUNRGBD/kv2/kinect2data/000002_2014-05-26_14-23-37_260595134347_rgbf000103-resize/image/0000103.jpg,/SUNRGBD/kv2/kinect2data/000002_2014-05-26_14-23-37_260595134347_rgbf000103-resize/segmentation/0000103.png,/SUNRGBD/kv2/kinect2data/000002_2014-05-26_14-23-37_260595134347_rgbf000103-resize/depth/0000103.png,/SUNRGBD/kv2/kinect2data/000002_2014-05-26_14-23-37_260595134347_rgbf000103-resize/HHA/0000103.png
/SUNRGBD/kv2/kinect2data/000003_2014-05-26_14-24-42_260595134347_rgbf000040-resize/image/0000040.jpg,/SUNRGBD/kv2/kinect2data/000003_2014-05-26_14-24-42_260595134347_rgbf000040-resize/segmentation/0000040.png,/SUNRGBD/kv2/kinect2data/000003_2014-05-26_14-24-42_260595134347_rgbf000040-resize/depth/0000040.png,/SUNRGBD/kv2/kinect2data/000003_2014-05-26_14-24-42_260595134347_rgbf000040-resize/HHA/0000040.png
/SUNRGBD/kv2/kinect2data/000008_2014-05-26_14-30-06_260595134347_rgbf000060-resize/image/0000060.jpg,/SUNRGBD/kv2/kinect2data/000008_2014-05-26_14-30-06_260595134347_rgbf000060-resize/segmentation/0000060.png,/SUNRGBD/kv2/kinect2data/000008_2014-05-26_14-30-06_260595134347_rgbf000060-resize/depth/0000060.png,/SUNRGBD/kv2/kinect2data/000008_2014-05-26_14-30-06_260595134347_rgbf000060-resize/HHA/0000060.png
/SUNRGBD/kv2/kinect2data/000009_2014-05-26_14-32-05_260595134347_rgbf000034-resize/image/0000034.jpg,/SUNRGBD/kv2/kinect2data/000009_2014-05-26_14-32-05_260595134347_rgbf000034-resize/segmentation/0000034.png,/SUNRGBD/kv2/kinect2data/000009_2014-05-26_14-32-05_260595134347_rgbf000034-resize/depth/0000034.png,/SUNRGBD/kv2/kinect2data/000009_2014-05-26_14-32-05_260595134347_rgbf000034-resize/HHA/0000034.png
/SUNRGBD/kv2/kinect2data/000010_2014-05-26_14-32-36_260595134347_rgbf000020-resize/image/0000020.jpg,/SUNRGBD/kv2/kinect2data/000010_2014-05-26_14-32-36_260595134347_rgbf000020-resize/segmentation/0000020.png,/SUNRGBD/kv2/kinect2data/000010_2014-05-26_14-32-36_260595134347_rgbf000020-resize/depth/0000020.png,/SUNRGBD/kv2/kinect2data/000010_2014-05-26_14-32-36_260595134347_rgbf000020-resize/HHA/0000020.png
/SUNRGBD/kv2/kinect2data/000011_2014-05-26_14-33-11_260595134347_rgbf000020-resize/image/0000020.jpg,/SUNRGBD/kv2/kinect2data/000011_2014-05-26_14-33-11_260595134347_rgbf000020-resize/segmentation/0000020.png,/SUNRGBD/kv2/kinect2data/000011_2014-05-26_14-33-11_260595134347_rgbf000020-resize/depth/0000020.png,/SUNRGBD/kv2/kinect2data/000011_2014-05-26_14-33-11_260595134347_rgbf000020-resize/HHA/0000020.png
/SUNRGBD/kv2/kinect2data/000012_2014-05-26_14-35-37_260595134347_rgbf000180-resize/image/0000180.jpg,/SUNRGBD/kv2/kinect2data/000012_2014-05-26_14-35-37_260595134347_rgbf000180-resize/segmentation/0000180.png,/SUNRGBD/kv2/kinect2data/000012_2014-05-26_14-35-37_260595134347_rgbf000180-resize/depth/0000180.png,/SUNRGBD/kv2/kinect2data/000012_2014-05-26_14-35-37_260595134347_rgbf000180-resize/HHA/0000180.png
/SUNRGBD/kv2/kinect2data/000013_2014-05-26_14-36-25_260595134347_rgbf000040-resize/image/0000040.jpg,/SUNRGBD/kv2/kinect2data/000013_2014-05-26_14-36-25_260595134347_rgbf000040-resize/segmentation/0000040.png,/SUNRGBD/kv2/kinect2data/000013_2014-05-26_14-36-25_260595134347_rgbf000040-resize/depth/0000040.png,/SUNRGBD/kv2/kinect2data/000013_2014-05-26_14-36-25_260595134347_rgbf000040-resize/HHA/0000040.png
/SUNRGBD/kv2/kinect2data/000014_2014-05-26_14-36-58_260595134347_rgbf000050-resize/image/0000050.jpg,/SUNRGBD/kv2/kinect2data/000014_2014-05-26_14-36-58_260595134347_rgbf000050-resize/segmentation/0000050.png,/SUNRGBD/kv2/kinect2data/000014_2014-05-26_14-36-58_260595134347_rgbf000050-resize/depth/0000050.png,/SUNRGBD/kv2/kinect2data/000014_2014-05-26_14-36-58_260595134347_rgbf000050-resize/HHA/0000050.png
/SUNRGBD/kv2/kinect2data/000015_2014-05-26_14-37-33_260595134347_rgbf000020-resize/image/0000020.jpg,/SUNRGBD/kv2/kinect2data/000015_2014-05-26_14-37-33_260595134347_rgbf000020-resize/segmentation/0000020.png,/SUNRGBD/kv2/kinect2data/000015_2014-05-26_14-37-33_260595134347_rgbf000020-resize/depth/0000020.png,/SUNRGBD/kv2/kinect2data/000015_2014-05-26_14-37-33_260595134347_rgbf000020-resize/HHA/0000020.png
