imagepath,seglabelpath,depthpath,HHApath
SUNRGBD/kv2/kinect2data/000065_2014-05-16_20-14-38_260595134347_rgbf000121-resize/image/0000121.jpg,SUNRGBD/kv2/kinect2data/000065_2014-05-16_20-14-38_260595134347_rgbf000121-resize/depth/0000121.png,SUNRGBD/kv2/kinect2data/000065_2014-05-16_20-14-38_260595134347_rgbf000121-resize/segmentation/0000121.png,SUNRGBD/kv2/kinect2data/000065_2014-05-16_20-14-38_260595134347_rgbf000121-resize/HHA/0000121.png
SUNRGBD/kv2/kinect2data/000066_2014-04-13_23-39-40_094959634447_rgbf000225-resize/image/0000225.jpg,SUNRGBD/kv2/kinect2data/000066_2014-04-13_23-39-40_094959634447_rgbf000225-resize/depth/0000225.png,SUNRGBD/kv2/kinect2data/000066_2014-04-13_23-39-40_094959634447_rgbf000225-resize/segmentation/0000225.png,SUNRGBD/kv2/kinect2data/000066_2014-04-13_23-39-40_094959634447_rgbf000225-resize/HHA/0000225.png
SUNRGBD/kv2/kinect2data/000067_2014-04-13_23-40-52_094959634447_rgbf000225-resize/image/0000225.jpg,SUNRGBD/kv2/kinect2data/000067_2014-04-13_23-40-52_094959634447_rgbf000225-resize/depth/0000225.png,SUNRGBD/kv2/kinect2data/000067_2014-04-13_23-40-52_094959634447_rgbf000225-resize/segmentation/0000225.png,SUNRGBD/kv2/kinect2data/000067_2014-04-13_23-40-52_094959634447_rgbf000225-resize/HHA/0000225.png
SUNRGBD/kv2/kinect2data/000068_2014-04-13_23-56-57_094959634447_rgbf000182-resize/image/0000182.jpg,SUNRGBD/kv2/kinect2data/000068_2014-04-13_23-56-57_094959634447_rgbf000182-resize/depth/0000182.png,SUNRGBD/kv2/kinect2data/000068_2014-04-13_23-56-57_094959634447_rgbf000182-resize/segmentation/0000182.png,SUNRGBD/kv2/kinect2data/000068_2014-04-13_23-56-57_094959634447_rgbf000182-resize/HHA/0000182.png
SUNRGBD/kv2/kinect2data/000069_2014-04-13_23-58-49_094959634447_rgbf000224-resize/image/0000224.jpg,SUNRGBD/kv2/kinect2data/000069_2014-04-13_23-58-49_094959634447_rgbf000224-resize/depth/0000224.png,SUNRGBD/kv2/kinect2data/000069_2014-04-13_23-58-49_094959634447_rgbf000224-resize/segmentation/0000224.png,SUNRGBD/kv2/kinect2data/000069_2014-04-13_23-58-49_094959634447_rgbf000224-resize/HHA/0000224.png
SUNRGBD/kv2/kinect2data/000070_2014-04-13_23-59-57_094959634447_rgbf000226-resize/image/0000226.jpg,SUNRGBD/kv2/kinect2data/000070_2014-04-13_23-59-57_094959634447_rgbf000226-resize/depth/0000226.png,SUNRGBD/kv2/kinect2data/000070_2014-04-13_23-59-57_094959634447_rgbf000226-resize/segmentation/0000226.png,SUNRGBD/kv2/kinect2data/000070_2014-04-13_23-59-57_094959634447_rgbf000226-resize/HHA/0000226.png
SUNRGBD/kv2/kinect2data/000071_2014-05-16_20-15-22_260595134347_rgbf000061-resize/image/0000061.jpg,SUNRGBD/kv2/kinect2data/000071_2014-05-16_20-15-22_260595134347_rgbf000061-resize/depth/0000061.png,SUNRGBD/kv2/kinect2data/000071_2014-05-16_20-15-22_260595134347_rgbf000061-resize/segmentation/0000061.png,SUNRGBD/kv2/kinect2data/000071_2014-05-16_20-15-22_260595134347_rgbf000061-resize/HHA/0000061.png
SUNRGBD/kv2/kinect2data/000072_2014-05-16_20-15-47_260595134347_rgbf000250-resize/image/0000250.jpg,SUNRGBD/kv2/kinect2data/000072_2014-05-16_20-15-47_260595134347_rgbf000250-resize/depth/0000250.png,SUNRGBD/kv2/kinect2data/000072_2014-05-16_20-15-47_260595134347_rgbf000250-resize/segmentation/0000250.png,SUNRGBD/kv2/kinect2data/000072_2014-05-16_20-15-47_260595134347_rgbf000250-resize/HHA/0000250.png
SUNRGBD/kv2/kinect2data/000073_2014-05-16_20-16-23_260595134347_rgbf000431-resize/image/0000431.jpg,SUNRGBD/kv2/kinect2data/000073_2014-05-16_20-16-23_260595134347_rgbf000431-resize/depth/0000431.png,SUNRGBD/kv2/kinect2data/000073_2014-05-16_20-16-23_260595134347_rgbf000431-resize/segmentation/0000431.png,SUNRGBD/kv2/kinect2data/000073_2014-05-16_20-16-23_260595134347_rgbf000431-resize/HHA/0000431.png
SUNRGBD/kv2/kinect2data/000074_2014-05-14_21-23-48_260595134347_rgbf000100-resize/image/0000100.jpg,SUNRGBD/kv2/kinect2data/000074_2014-05-14_21-23-48_260595134347_rgbf000100-resize/depth/0000100.png,SUNRGBD/kv2/kinect2data/000074_2014-05-14_21-23-48_260595134347_rgbf000100-resize/segmentation/0000100.png,SUNRGBD/kv2/kinect2data/000074_2014-05-14_21-23-48_260595134347_rgbf000100-resize/HHA/0000100.png
