imagepath seglabelpath depthpath HHApath
SUNRGBD/kv2/kinect2data/002132_2014-06-25_21-12-39_260595134347_rgbf000085-resize/image/0000085.jpg SUNRGBD/kv2/kinect2data/002132_2014-06-25_21-12-39_260595134347_rgbf000085-resize/depth/0000085.png SUNRGBD/kv2/kinect2data/002132_2014-06-25_21-12-39_260595134347_rgbf000085-resize/segmentation/0000085.png SUNRGBD/kv2/kinect2data/002132_2014-06-25_21-12-39_260595134347_rgbf000085-resize/HHA/0000085.png
SUNRGBD/kv2/kinect2data/002133_2014-06-25_21-12-52_260595134347_rgbf000082-resize/image/0000082.jpg SUNRGBD/kv2/kinect2data/002133_2014-06-25_21-12-52_260595134347_rgbf000082-resize/depth/0000082.png SUNRGBD/kv2/kinect2data/002133_2014-06-25_21-12-52_260595134347_rgbf000082-resize/segmentation/0000082.png SUNRGBD/kv2/kinect2data/002133_2014-06-25_21-12-52_260595134347_rgbf000082-resize/HHA/0000082.png
SUNRGBD/kv2/kinect2data/002134_2014-06-25_21-13-12_260595134347_rgbf000111-resize/image/0000111.jpg SUNRGBD/kv2/kinect2data/002134_2014-06-25_21-13-12_260595134347_rgbf000111-resize/depth/0000111.png SUNRGBD/kv2/kinect2data/002134_2014-06-25_21-13-12_260595134347_rgbf000111-resize/segmentation/0000111.png SUNRGBD/kv2/kinect2data/002134_2014-06-25_21-13-12_260595134347_rgbf000111-resize/HHA/0000111.png
SUNRGBD/kv2/kinect2data/002135_2014-06-25_21-17-43_260595134347_rgbf000087-resize/image/0000087.jpg SUNRGBD/kv2/kinect2data/002135_2014-06-25_21-17-43_260595134347_rgbf000087-resize/depth/0000087.png SUNRGBD/kv2/kinect2data/002135_2014-06-25_21-17-43_260595134347_rgbf000087-resize/segmentation/0000087.png SUNRGBD/kv2/kinect2data/002135_2014-06-25_21-17-43_260595134347_rgbf000087-resize/HHA/0000087.png
SUNRGBD/kv2/kinect2data/002136_2014-06-25_21-18-03_260595134347_rgbf000109-resize/image/0000109.jpg SUNRGBD/kv2/kinect2data/002136_2014-06-25_21-18-03_260595134347_rgbf000109-resize/depth/0000109.png SUNRGBD/kv2/kinect2data/002136_2014-06-25_21-18-03_260595134347_rgbf000109-resize/segmentation/0000109.png SUNRGBD/kv2/kinect2data/002136_2014-06-25_21-18-03_260595134347_rgbf000109-resize/HHA/0000109.png
SUNRGBD/kv2/kinect2data/002137_2014-06-25_21-18-19_260595134347_rgbf000081-resize/image/0000081.jpg SUNRGBD/kv2/kinect2data/002137_2014-06-25_21-18-19_260595134347_rgbf000081-resize/depth/0000081.png SUNRGBD/kv2/kinect2data/002137_2014-06-25_21-18-19_260595134347_rgbf000081-resize/segmentation/0000081.png SUNRGBD/kv2/kinect2data/002137_2014-06-25_21-18-19_260595134347_rgbf000081-resize/HHA/0000081.png
SUNRGBD/kv2/kinect2data/002138_2014-06-25_21-18-40_260595134347_rgbf000110-resize/image/0000110.jpg SUNRGBD/kv2/kinect2data/002138_2014-06-25_21-18-40_260595134347_rgbf000110-resize/depth/0000110.png SUNRGBD/kv2/kinect2data/002138_2014-06-25_21-18-40_260595134347_rgbf000110-resize/segmentation/0000110.png SUNRGBD/kv2/kinect2data/002138_2014-06-25_21-18-40_260595134347_rgbf000110-resize/HHA/0000110.png
SUNRGBD/kv2/kinect2data/002139_2014-06-25_21-19-37_260595134347_rgbf000124-resize/image/0000124.jpg SUNRGBD/kv2/kinect2data/002139_2014-06-25_21-19-37_260595134347_rgbf000124-resize/depth/0000124.png SUNRGBD/kv2/kinect2data/002139_2014-06-25_21-19-37_260595134347_rgbf000124-resize/segmentation/0000124.png SUNRGBD/kv2/kinect2data/002139_2014-06-25_21-19-37_260595134347_rgbf000124-resize/HHA/0000124.png
SUNRGBD/kv2/kinect2data/002140_2014-06-25_21-20-16_260595134347_rgbf000082-resize/image/0000082.jpg SUNRGBD/kv2/kinect2data/002140_2014-06-25_21-20-16_260595134347_rgbf000082-resize/depth/0000082.png SUNRGBD/kv2/kinect2data/002140_2014-06-25_21-20-16_260595134347_rgbf000082-resize/segmentation/0000082.png SUNRGBD/kv2/kinect2data/002140_2014-06-25_21-20-16_260595134347_rgbf000082-resize/HHA/0000082.png
SUNRGBD/kv2/kinect2data/002141_2014-06-25_21-20-35_260595134347_rgbf000081-resize/image/0000081.jpg SUNRGBD/kv2/kinect2data/002141_2014-06-25_21-20-35_260595134347_rgbf000081-resize/depth/0000081.png SUNRGBD/kv2/kinect2data/002141_2014-06-25_21-20-35_260595134347_rgbf000081-resize/segmentation/0000081.png SUNRGBD/kv2/kinect2data/002141_2014-06-25_21-20-35_260595134347_rgbf000081-resize/HHA/0000081.png
SUNRGBD/kv2/kinect2data/002142_2014-06-25_21-20-49_260595134347_rgbf000163-resize/image/0000163.jpg SUNRGBD/kv2/kinect2data/002142_2014-06-25_21-20-49_260595134347_rgbf000163-resize/depth/0000163.png SUNRGBD/kv2/kinect2data/002142_2014-06-25_21-20-49_260595134347_rgbf000163-resize/segmentation/0000163.png SUNRGBD/kv2/kinect2data/002142_2014-06-25_21-20-49_260595134347_rgbf000163-resize/HHA/0000163.png
